rbd;nom_lycee;commune;region;program_code;numero_unique;nom_programme_reconstruit;niveau;enseignement;type_formation;cod_espe;specialite_si_applicable;secteur_specialite_si_applicable;jornada;genre_programme;dependance;dependance_agregee;ruralite;convenio_pie;pace;paiement_matricula;paiement_mensualite;orientation_religieuse;orientation_religieuse_autre_detail;matricula_total_lycee;matricula_media_hc_jovenes;matricula_media_tp_jovenes;lycee_offre_hc_jovenes;lycee_offre_tp_jovenes;lycee_codes_specialites_annuaire;lycee_nb_specialites_annuaire;etat_etablissement;etablissement_avec_matricula;capacite_totale_programme;sieges_admission_total;sieges_reguliers;sieges_priority_student;sieges_integration;candidats_annee_precedente;ratio_demande_capacite_annee_precedente;lat_lycee;lon_lycee
344;COLEGIO SANTA EMILIA;ANTOFAGASTA;ANTOF;131000000131;344_131000000131;1º medio — Général H-C — Mixte — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;999;295;0;Oui;Non;;0;Fonctionne;Avec matrícula;80;14;14;0;0;184;2.3000;-23,5893;-70,379623
337;COLEGIO SANTA TERESITA;ANTOFAGASTA;ANTOF;131000000133;337_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;983;317;0;Oui;Non;;0;Fonctionne;Avec matrícula;95;8;8;0;0;148;1.5579;-23,65032;-70,391411
12943;COLEGIO TECNICO INDUSTRIAL DON BOSCO;ANTOFAGASTA;ANTOF;131000000123;12943_131000000123;1º medio — Général H-C — Garçons — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Garçons;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Catholique;;1280;0;843;Non;Oui;52010|52013|53014|53015;4;Fonctionne;Avec matrícula;220;4;4;0;0;535;2.4318;-23,57645;-70,382339
12802;FUND.EDUC.COL.FEMENINO MADRE DEL ROSARIO;ANTOFAGASTA;ANTOF;131000000111;12802_131000000111;1º medio — Général H-C — Filles — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Filles;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Catholique;;497;155;0;Oui;Non;;0;Fonctionne;Avec matrícula;40;14;14;0;0;48;1.2000;-23,585279;-70,379494
12977;HARVEST CHRISTIAN SCHOOL;ANTOFAGASTA;ANTOF;131000000133;12977_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Évangélique;;1208;417;0;Oui;Non;;0;Fonctionne;Avec matrícula;80;3;3;0;0;175;2.1875;-23,595301;-70,389801
304;LICEO BICENTENARIO ANDRÉS SABELLA;ANTOFAGASTA;ANTOF;131000000133;304_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;1327;481;0;Oui;Non;;0;Fonctionne;Avec matrícula;120;19;19;0;0;244;2.0333;-23,67577;-70,410759
329;LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO;ANTOFAGASTA;ANTOF;131000000133;329_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;657;280;0;Oui;Non;;0;Fonctionne;Avec matrícula;43;1;1;0;0;78;1.8140;-23,693741;-70,409813
285;LICEO BICENTENARIO MARTA NAREA DIAZ;ANTOFAGASTA;ANTOF;131000000133;285_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;1163;578;0;Oui;Non;;0;Fonctionne;Avec matrícula;140;71;71;0;0;104;0.7429;-23,650129;-70,401154
31343;LICEO CIENTIFICO HUMANISTA LA CHIMBA;ANTOFAGASTA;ANTOF;131000000133;31343_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;975;911;0;Oui;Non;;0;Fonctionne;Avec matrícula;266;217;195;22;0;86;0.3233;-23,558701;-70,395317
12855;LICEO COMERCIAL COMPUTACIONAL STA SARA;ANTOFAGASTA;ANTOF;131000000133;12855_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;280;0;280;Non;Oui;41002|41005;2;Fonctionne;Avec matrícula;67;64;53;11;0;107;1.5970;-23,63995;-70,392662
