rbd;program_code;lat;lon;total_capacity;total_admission_seats;integration_student_seats;priority_student_seats;high_selectivity_seats_transitional;high_selectivity_seats_ranking;regular_seats;true_applicants_last_year;calibration_2024_imputed;calibration_2024_imputation_method;program_lottery_population_2024;priority_share_priority_sibling_2024;cum_share_before_priority_sibling_2024;cum_share_through_priority_sibling_2024;priority_share_priority_student_2024;cum_share_before_priority_student_2024;cum_share_through_priority_student_2024;priority_share_priority_parent_civil_servant_2024;cum_share_before_priority_parent_civil_servant_2024;cum_share_through_priority_parent_civil_servant_2024;priority_share_priority_ex_student_2024;cum_share_before_priority_ex_student_2024;cum_share_through_priority_ex_student_2024;priority_share_no_priority_2024;cum_share_before_no_priority_2024;cum_share_through_no_priority_2024
110;131000000133;-20,21759;-70,14691;70;25;0;0;0;0;25;80;FALSE;observed_2024_program_match;188;0.0212765957;0;0.0212765957;0.0159574468;0.0212765957;0.0372340426;0;0.0372340426;0.0372340426;0.0212765957;0.0372340426;0.0585106383;0.9414893617;0.0585106383;1
110;131000000233;-20,2803442;-70,0919091;76;26;0;0;0;0;26;76;TRUE;"fallback_proxy_no_2024_program_mapping_available;population_kept_from_existing_proxy";76;0.04172820011;0;0.04172820011;0.05796544547;0.04172820011;0.09969364558;0.001745585951;0.09969364558;0.1014392315;0.01888050587;0.1014392315;0.1203197374;0.8796802626;0.1203197374;1
124;131000000133;-20,24199;-70,13744;288;263;0;44;0;0;219;326;FALSE;observed_2024_program_match;520;0.0923076923;0;0.0923076923;0.075;0.0923076923;0.1673076923;0;0.1673076923;0.1673076923;0;0.1673076923;0.1673076923;0.8326923077;0.1673076923;1
125;131000000133;-20,24578;-70,13827;105;50;0;0;0;0;50;25;FALSE;observed_2024_program_match;119;0.0168067227;0;0.0168067227;0.0588235294;0.0168067227;0.0756302521;0;0.0756302521;0.0756302521;0.0588235294;0.0756302521;0.1344537815;0.8655462185;0.1344537815;1
127;131000000111;-20,22232;-70,14838;76;14;0;0;0;0;14;41;FALSE;observed_2024_program_match;57;0;0;0;0.0350877193;0;0.0350877193;0;0.0350877193;0.0350877193;0.0175438596;0.0350877193;0.0526315789;0.9473684211;0.0526315789;1
129;131000000131;-20,22109;-70,15144;33;11;0;0;0;0;11;19;FALSE;observed_2024_program_match;41;0.0243902439;0;0.0243902439;0.0243902439;0.0243902439;0.0487804878;0;0.0487804878;0.0487804878;0.0487804878;0.0487804878;0.0975609756;0.9024390244;0.0975609756;1
130;131000000131;-20,22346;-70,14423;33;6;0;0;0;0;6;50;FALSE;observed_2024_program_match;76;0.0263157895;0;0.0263157895;0;0.0263157895;0.0263157895;0;0.0263157895;0.0263157895;0.0263157895;0.0263157895;0.0526315789;0.9473684211;0.0526315789;1
131;131000000131;-20,22464;-70,14818;40;7;0;0;0;0;7;28;FALSE;observed_2024_program_match;62;0.0322580645;0;0.0322580645;0.0161290323;0.0322580645;0.0483870968;0;0.0483870968;0.0483870968;0;0.0483870968;0.0483870968;0.9516129032;0.0483870968;1
132;131000000133;-20,28974;-70,12743;200;50;0;0;0;0;50;205;FALSE;observed_2024_program_match;234;0.0598290598;0;0.0598290598;0.0299145299;0.0598290598;0.0897435897;0;0.0897435897;0.0897435897;0.0085470085;0.0897435897;0.0982905983;0.9017094017;0.0982905983;1
133;131000000133;-20,22528;-70,14851;71;9;0;0;0;0;9;100;FALSE;observed_2024_program_match;162;0.024691358;0;0.024691358;0.0061728395;0.024691358;0.0308641975;0;0.0308641975;0.0308641975;0.0185185185;0.0308641975;0.049382716;0.950617284;0.049382716;1
