rbd,Region
1607,Región Metropolitana de Santiago
1610,Región Metropolitana de Santiago
1619,Región de Valparaíso
1632,Región Metropolitana de Santiago
1635,Región Metropolitana de Santiago
1653,Región Metropolitana de Santiago
1657,Región Metropolitana de Santiago
1663,Región Metropolitana de Santiago
1664,Región Metropolitana de Santiago
1672,Región Metropolitana de Santiago
1674,Región Metropolitana de Santiago
1675,Región Metropolitana de Santiago
1676,Región Metropolitana de Santiago
1681,Región Metropolitana de Santiago
1685,Región Metropolitana de Santiago
1734,Región Metropolitana de Santiago
1735,Región Metropolitana de Santiago
1738,Región Metropolitana de Santiago
1739,Región Metropolitana de Santiago
1741,Región Metropolitana de Santiago
1742,Región Metropolitana de Santiago
1743,Región de Valparaíso
1747,Región Metropolitana de Santiago
1749,Región Metropolitana de Santiago
1750,Región Metropolitana de Santiago
1755,Región Metropolitana de Santiago
1756,Región Metropolitana de Santiago
1757,Región Metropolitana de Santiago
1761,Región Metropolitana de Santiago
1769,Región de Valparaíso
1795,Región Metropolitana de Santiago
1801,Región Metropolitana de Santiago
1851,Región de Valparaíso
1858,Región de Valparaíso
1859,Región de Valparaíso
1860,Región de Valparaíso
1863,Región de Valparaíso
1864,Región de Valparaíso
1867,Región de Valparaíso
1880,Región Metropolitana de Santiago
1881,Región Metropolitana de Santiago
1884,Región Metropolitana de Santiago
1886,Región Metropolitana de Santiago
1887,Región Metropolitana de Santiago
1889,Región Metropolitana de Santiago
1891,Región Metropolitana de Santiago
1895,Región Metropolitana de Santiago
1908,Región Metropolitana de Santiago
1909,Región Metropolitana de Santiago
1911,Región Metropolitana de Santiago
1918,Región Metropolitana de Santiago
1919,Región Metropolitana de Santiago
1923,Región Metropolitana de Santiago
1934,Región Metropolitana de Santiago
1941,Región Metropolitana de Santiago
1958,Región Metropolitana de Santiago
1959,Región Metropolitana de Santiago
1967,Región Metropolitana de Santiago
1969,Región Metropolitana de Santiago
1971,Región Metropolitana de Santiago
1977,Región Metropolitana de Santiago
1980,Región Metropolitana de Santiago
1987,Región Metropolitana de Santiago
1996,Región Metropolitana de Santiago
1997,Región Metropolitana de Santiago
2007,Región Metropolitana de Santiago
2009,Región de Valparaíso
2012,Región Metropolitana de Santiago
2013,Región Metropolitana de Santiago
2018,Región Metropolitana de Santiago
2019,Región Metropolitana de Santiago
2035,Región Metropolitana de Santiago
2040,Región Metropolitana de Santiago
2041,Región Metropolitana de Santiago
2042,Región Metropolitana de Santiago
2043,Región Metropolitana de Santiago
2044,Región Metropolitana de Santiago
2045,Región Metropolitana de Santiago
2047,Región Metropolitana de Santiago
2049,Región Metropolitana de Santiago
2050,Región Metropolitana de Santiago
2052,Región Metropolitana de Santiago
2055,Región Metropolitana de Santiago
2064,Región Metropolitana de Santiago
2066,Región Metropolitana de Santiago
2075,Región de Valparaíso
2078,Región de Valparaíso
2084,Región de Valparaíso
2090,Región de Valparaíso
2091,Región Metropolitana de Santiago
2099,Región Metropolitana de Santiago
2102,Región Metropolitana de Santiago
2103,Región Metropolitana de Santiago
2104,Región Metropolitana de Santiago
2105,Región Metropolitana de Santiago
2109,Región Metropolitana de Santiago
2110,Región Metropolitana de Santiago
2111,Región Metropolitana de Santiago
2123,Región Metropolitana de Santiago
2124,Región Metropolitana de Santiago
2134,Región Metropolitana de Santiago
2150,Región Metropolitana de Santiago
2162,Región Metropolitana de Santiago
2163,Región Metropolitana de Santiago
2164,Región Metropolitana de Santiago
2165,Región Metropolitana de Santiago
2166,Región Metropolitana de Santiago
2167,Región Metropolitana de Santiago
2171,Región Metropolitana de Santiago
2183,Región Metropolitana de Santiago
2205,Región Metropolitana de Santiago
2206,Región Metropolitana de Santiago
2217,Región Metropolitana de Santiago
2218,Región Metropolitana de Santiago
2219,Región Metropolitana de Santiago
2222,Región Metropolitana de Santiago
2224,Región Metropolitana de Santiago
2233,Región Metropolitana de Santiago
2244,Región Metropolitana de Santiago
2250,Región Metropolitana de Santiago
2251,Región Metropolitana de Santiago
2259,Región Metropolitana de Santiago
2263,Región Metropolitana de Santiago
2278,Región del Libertador Bernardo O'Higgins
2280,Región del Libertador Bernardo O'Higgins
2283,Región del Libertador Bernardo O'Higgins
2285,Región del Libertador Bernardo O'Higgins
2308,Región del Libertador Bernardo O'Higgins
2309,Región del Libertador Bernardo O'Higgins
2310,Región del Libertador Bernardo O'Higgins
2319,Región del Libertador Bernardo O'Higgins
2326,Región del Libertador Bernardo O'Higgins
2329,Región del Libertador Bernardo O'Higgins
2339,Región del Libertador Bernardo O'Higgins
2355,Región del Libertador Bernardo O'Higgins
2356,Región del Libertador Bernardo O'Higgins
2375,Región del Libertador Bernardo O'Higgins
2378,Región del Libertador Bernardo O'Higgins
