rbd;nom_lycee;commune;region;program_code;numero_unique;nom_programme_reconstruit;niveau;enseignement;type_formation;cod_espe;specialite_si_applicable;secteur_specialite_si_applicable;jornada;genre_programme;dependance;dependance_agregee;ruralite;convenio_pie;pace;paiement_matricula;paiement_mensualite;orientation_religieuse;orientation_religieuse_autre_detail;matricula_total_lycee;matricula_media_hc_jovenes;matricula_media_tp_jovenes;lycee_offre_hc_jovenes;lycee_offre_tp_jovenes;lycee_codes_specialites_annuaire;lycee_nb_specialites_annuaire;etat_etablissement;etablissement_avec_matricula;capacite_totale_programme;sieges_admission_total;sieges_reguliers;sieges_priority_student;sieges_integration;candidats_annee_precedente;ratio_demande_capacite_annee_precedente;lat_lycee;lon_lycee;program_latitude;program_longitude;program_geo_source;program_geo_match_level;school_capacity_lat;school_capacity_lon;school_capacity_region_full;school_capacity_province;school_capacity_cupos_totales;school_capacity_vacantes;school_capacity_vacantes_prioritarios;school_capacity_vacantes_regular;coordinate_discrepancy_km
12855;LICEO COMERCIAL COMPUTACIONAL STA SARA;ANTOFAGASTA;ANTOF;131000000133;12855_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;280;0;280;Non;Oui;41002|41005;2;Fonctionne;Avec matrícula;67;64;53;11;0;107;1.5970;-23,63995;-70,392662;-23.63995;-70.39266;school_capacity_with_region_and_province;exact_rbd_program_code;-23.63995;-70.39266;Región de Antofagasta;Antofagasta;94.0;94.0;15.0;79.0;0
280;LICEO COMERCIAL JERARDO MUNOZ CAMPOS;ANTOFAGASTA;ANTOF;131000000133;280_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;1681;0;1615;Non;Oui;41002|41003|41005;3;Fonctionne;Avec matrícula;360;336;282;54;0;223;0.6194;-23,6527;-70,399529;-23.65270374;-70.39953029;school_capacity_with_region_and_province;exact_rbd_program_code;-23.65270374;-70.39953029;Región de Antofagasta;Antofagasta;432.0;405.0;55.0;350.0;0
12830;LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.;ANTOFAGASTA;ANTOF;131000000133;12830_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Laïque;;773;0;773;Non;Oui;41002|41005;2;Fonctionne;Avec matrícula;200;194;164;30;0;244;1.2200;-23,641199;-70,390808;-23.64121;-70.39081;school_capacity_with_region_and_province;exact_rbd_program_code;-23.64121;-70.39081;Región de Antofagasta;Antofagasta;194.0;194.0;30.0;164.0;0.001
284;LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA;ANTOFAGASTA;ANTOF;131000000133;284_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;1204;631;0;Oui;Non;;0;Fonctionne;Avec matrícula;180;128;117;11;0;33;0.1833;-23,653629;-70,398857;-23.65363;-70.39886;school_capacity_with_region_and_province;exact_rbd_program_code;-23.65363;-70.39886;Región de Antofagasta;Antofagasta;180.0;128.0;7.0;121.0;0
287;LICEO DOMINGO HERRERA RIVERA;ANTOFAGASTA;ANTOF;131000000133;287_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;1024;966;0;Oui;Non;;0;Fonctionne;Avec matrícula;270;239;210;29;0;417;1.5444;-23,63081;-70,38768;-23.63081;-70.38768;school_capacity_with_region_and_province;exact_rbd_program_code;-23.63081;-70.38768;Región de Antofagasta;Antofagasta;240.0;209.0;28.0;181.0;0
336;LICEO EXPERIMENTAL ARTISTICO-APLICACION;ANTOFAGASTA;ANTOF;131000000133;336_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Laïque;;1335;497;0;Oui;Non;;0;Fonctionne;Avec matrícula;135;12;12;0;0;158;1.1704;-23,65575;-70,400574;-23.65576;-70.40056;school_capacity_with_region_and_province;rbd_fallback;-23.65576;-70.40056;Región de Antofagasta;Antofagasta;135.0;10.0;0.0;10.0;0.002
279;LICEO INDUSTRIAL EULOGIO GORDO MONEO;ANTOFAGASTA;ANTOF;131000000133;279_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;2060;0;1689;Non;Oui;51003|51009|52008|52009|52010|52013|53014|53015|54018|54019|56027;11;Fonctionne;Avec matrícula;416;379;316;63;0;618;1.4856;-23,61371;-70,38282;-23.61371;-70.38282;school_capacity_with_region_and_province;exact_rbd_program_code;-23.61371;-70.38282;Región de Antofagasta;Antofagasta;416.0;416.0;63.0;353.0;0
286;LICEO LA PORTADA;ANTOFAGASTA;ANTOF;131000000133;286_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;923;547;300;Oui;Oui;55022|58035|61003|64001;4;Fonctionne;Avec matrícula;210;203;171;32;0;268;1.2762;-23,60877;-70,381821;-23.60877;-70.38182;school_capacity_with_region_and_province;exact_rbd_program_code;-23.60877;-70.38182;Región de Antofagasta;Antofagasta;245.0;238.0;37.0;201.0;0
10968;LICEO MAYOR GRAL.(E) OSCAR BONILLA;ANTOFAGASTA;ANTOF;131000000133;10968_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Catholique;;922;508;414;Oui;Oui;52013|56027;2;Fonctionne;Avec matrícula;245;227;190;37;0;313;1.2776;-23,589291;-70,384232;-23.58929;-70.38423;school_capacity_with_region_and_province;exact_rbd_program_code;-23.58929;-70.38423;Región de Antofagasta;Antofagasta;210.0;180.0;32.0;148.0;0
31345;LICEO POLITÉCNICO LOS ARENALES;ANTOFAGASTA;ANTOF;131000000133;31345_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Autre;ENSEÑANZA VALORICA;943;489;454;Oui;Oui;41005|51006|52010|55022|55023;5;Fonctionne;Avec matrícula;252;252;214;38;0;230;0.9127;-23,580839;-70,376823;-23.58084;-70.37682;school_capacity_with_region_and_province;exact_rbd_program_code;-23.58084;-70.37682;Región de Antofagasta;Antofagasta;252.0;234.0;38.0;196.0;0
283;LICEO TECNICO ANTOFAGASTA;ANTOFAGASTA;ANTOF;131000000133;283_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;1229;0;1021;Non;Oui;61002|61003|62004|62006|62007|63009|64001|64008;8;Fonctionne;Avec matrícula;245;233;196;37;0;527;2.1510;-23,650841;-70,401947;-23.65084;-70.40194;school_capacity_with_region_and_province;exact_rbd_program_code;-23.65084;-70.40194;Región de Antofagasta;Antofagasta;245.0;245.0;37.0;208.0;0.001
31340;NETLAND SCHOOL;ANTOFAGASTA;ANTOF;131000000133;31340_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Catholique;;2047;620;0;Oui;Non;;0;Fonctionne;Avec matrícula;154;6;6;0;0;240;1.5584;-23,558861;-70,395622;-23.55886;-70.39562;school_capacity_with_region_and_province;exact_rbd_program_code;-23.55886;-70.39562;Región de Antofagasta;Antofagasta;159.0;3.0;0.0;3.0;0
12891;NEW HEAVEN HIGH SCHOOL;ANTOFAGASTA;ANTOF;131000000133;12891_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Évangélique;;2145;623;0;Oui;Non;;0;Fonctionne;Avec matrícula;225;48;48;0;0;241;1.0711;-23,57077;-70,383774;-23.57077;-70.38376;school_capacity_with_region_and_province;exact_rbd_program_code;-23.57077;-70.38376;Región de Antofagasta;Antofagasta;225.0;28.0;0.0;28.0;0.001
12970;NORTH COLLEGE;ANTOFAGASTA;ANTOF;131000000133;12970_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;MAS DE $100.000;Laïque;;944;299;0;Oui;Non;;0;Fonctionne;Avec matrícula;86;5;5;0;0;174;2.0233;-23,593519;-70,390182;-23.59353;-70.39019;school_capacity_with_region_and_province;exact_rbd_program_code;-23.59353;-70.39019;Región de Antofagasta;Antofagasta;78.0;9.0;1.0;8.0;0.001
12963;THE ANTOFAGASTA BAPTIST COLLEGE;ANTOFAGASTA;ANTOF;131000000133;12963_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Évangélique;;1750;517;0;Oui;Non;;0;Fonctionne;Avec matrícula;136;6;6;0;0;234;1.7206;-23,581181;-70,390083;-23.58118;-70.39008;school_capacity_with_region_and_province;exact_rbd_program_code;-23.58118;-70.39008;Región de Antofagasta;Antofagasta;138.0;10.0;0.0;10.0;0
