rbd;nom_lycee;commune;region;program_code;numero_unique;nom_programme_reconstruit;niveau;enseignement;type_formation;cod_espe;specialite_si_applicable;secteur_specialite_si_applicable;jornada;genre_programme;dependance;dependance_agregee;ruralite;convenio_pie;pace;paiement_matricula;paiement_mensualite;orientation_religieuse;orientation_religieuse_autre_detail;matricula_total_lycee;matricula_media_hc_jovenes;matricula_media_tp_jovenes;lycee_offre_hc_jovenes;lycee_offre_tp_jovenes;lycee_codes_specialites_annuaire;lycee_nb_specialites_annuaire;etat_etablissement;etablissement_avec_matricula;capacite_totale_programme;sieges_admission_total;sieges_reguliers;sieges_priority_student;sieges_integration;candidats_annee_precedente;ratio_demande_capacite_annee_precedente;lat_lycee;lon_lycee;program_latitude;program_longitude;program_geo_source;program_geo_match_level;school_capacity_lat;school_capacity_lon;school_capacity_region_full;school_capacity_province;school_capacity_cupos_totales;school_capacity_vacantes;school_capacity_vacantes_prioritarios;school_capacity_vacantes_regular;coordinate_discrepancy_km
13373;COLEGIO PARTICULAR LEONARDO DA VINCI;COQUIMBO;COQ;131000000133;13373_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;918;274;0;Oui;Non;;0;Fonctionne;Avec matrícula;70;0;0;0;0;104;1.4857;-29,95256;-71,270157;-29.95269;-71.27025;school_capacity_with_region_and_province;exact_rbd_program_code;-29.95269;-71.27025;Región de Coquimbo;Elqui;70.0;2.0;0.0;2.0;0.017
11133;COLEGIO PARTICULAR SAN GABRIEL;COQUIMBO;COQ;131000000131;11133_131000000131;1º medio — Général H-C — Mixte — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Catholique;;300;99;0;Oui;Non;;0;Fonctionne;Avec matrícula;30;2;2;0;0;51;1.7000;-29,962021;-71,339333;-29.96202;-71.33933;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96202;-71.33933;Región de Coquimbo;Elqui;32.0;3.0;0.0;3.0;0
13604;COLEGIO RAKIDUAM;COQUIMBO;COQ;131000000133;13604_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$10.001 A $25.000;Laïque;;590;218;0;Oui;Non;;0;Fonctionne;Avec matrícula;38;4;4;0;0;49;1.2895;-29,9666;-71,31031;-29.96660151;-71.31030661;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96660151;-71.31030661;Región de Coquimbo;Elqui;38.0;2.0;0.0;2.0;0
13504;COLEGIO SAN LORENZO;COQUIMBO;COQ;131000000133;13504_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;Gratuit;Laïque;;1255;349;0;Oui;Non;;0;Fonctionne;Avec matrícula;166;50;50;0;0;60;0.3614;-29,97743;-71,293388;-29.97743;-71.29339;school_capacity_with_region_and_province;exact_rbd_program_code;-29.97743;-71.29339;Región de Coquimbo;Elqui;88.0;8.0;0.0;8.0;0
13626;COLEGIO SAN LUIS;COQUIMBO;COQ;131000000133;13626_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;358;124;0;Oui;Non;;0;Fonctionne;Avec matrícula;32;1;1;0;0;25;0.7812;-29,96158;-71,342957;-29.96158;-71.34296;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96158;-71.34296;Región de Coquimbo;Elqui;35.0;11.0;0.0;11.0;0
13442;COLEGIO SANTA FAMILIA;COQUIMBO;COQ;131000000133;13442_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$25.001 A $50.000;Catholique;;1233;353;0;Oui;Non;;0;Fonctionne;Avec matrícula;82;4;4;0;0;164;2.0000;-29,99054;-71,334129;-29.99054;-71.33413;school_capacity_with_region_and_province;exact_rbd_program_code;-29.99054;-71.33413;Región de Coquimbo;Elqui;117.0;6.0;0.0;6.0;0
13553;COLEGIO SANTA HELENA COLLEGE;COQUIMBO;COQ;131000000133;13553_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$25.001 A $50.000;Laïque;;115;115;0;Oui;Non;;0;Fonctionne;Avec matrícula;36;36;30;6;0;75;2.0833;-29,96242;-71,337532;-29.96242;-71.33753;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96242;-71.33753;Región de Coquimbo;Elqui;36.0;36.0;6.0;30.0;0
13324;COLEGIO SANTA MARIA DE BELEN N_ 162;COQUIMBO;COQ;131000000233;13324_131000000233;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$25.001 A $50.000;Catholique;;809;243;0;Oui;Non;;0;Fonctionne;Avec matrícula;62;5;5;0;0;130;2.0968;-29,98431;-71,34539;-29.98413019;-71.34507837;school_capacity_with_region_and_province;exact_rbd_program_code;-29.98413019;-71.34507837;Región de Coquimbo;Elqui;62.0;2.0;0.0;2.0;0.036
648;COLEGIO SANTA MARTA;COQUIMBO;COQ;131000000133;648_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;$25.001 A $50.000;Catholique;;1125;326;0;Oui;Non;;0;Fonctionne;Avec matrícula;80;1;1;0;0;127;1.5875;-29,96142;-71,34729;-29.96142;-71.34729;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96142;-71.34729;Región de Coquimbo;Elqui;84.0;0.0;0.0;0.0;0
40208;COLEGIO TECNICO PROFESIONAL ALTUE;COQUIMBO;COQ;131000000133;40208_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Catholique;;350;71;58;Oui;Oui;41005;1;Fonctionne;Avec matrícula;40;13;13;0;0;22;0.5500;-29,953421;-71,248123;-29.95342;-71.24812;school_capacity_with_region_and_province;exact_rbd_program_code;-29.95342;-71.24812;Región de Coquimbo;Elqui;40.0;16.0;0.0;16.0;0
616;ESCUELA CARDENAL JOSE MARIA CARO;COQUIMBO;COQ;131000000133;616_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;651;93;0;Oui;Non;;0;Fonctionne;Avec matrícula;70;35;35;0;0;42;0.6000;-29,96734;-71,339104;-29.967667;-71.33904;school_capacity_with_region_and_province;exact_rbd_program_code;-29.967667;-71.33904;Región de Coquimbo;Elqui;35.0;0.0;0.0;0.0;0.037
11144;ESCUELA DIEGO DE ALMEYDA;COQUIMBO;COQ;131000000133;11144_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;1167;284;73;Oui;Oui;61003;1;Fonctionne;Avec matrícula;105;11;11;0;0;91;0.8667;-29,95982;-71,250908;-29.95982;-71.25091;school_capacity_with_region_and_province;exact_rbd_program_code;-29.95982;-71.25091;Región de Coquimbo;Elqui;99.0;15.0;0.0;15.0;0
650;ESCUELA PARTICULAR METODISTA;COQUIMBO;COQ;131000000133;650_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Évangélique;;423;39;0;Oui;Non;;0;Fonctionne;Avec matrícula;44;19;19;0;0;44;1.0000;-29,957479;-71,343391;-29.957479;-71.343391;programmes_chili_criteres_recommandation_lat_lycee;program_csv_coordinate_fallback;;;;;;;;;
13633;ESCUELA SAN MARINO COLLEGE;COQUIMBO;COQ;131000000133;13633_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;$25.001 A $50.000;Autre;LAICA;492;150;0;Oui;Non;;0;Fonctionne;Avec matrícula;38;3;3;0;0;46;1.2105;-29,970921;-71,299721;-29.97092;-71.29972;school_capacity_with_region_and_province;exact_rbd_program_code;-29.97092;-71.29972;Región de Coquimbo;Elqui;38.0;1.0;0.0;1.0;0
13558;INSTITUTO DE ADM. Y COMERCIO ESTADO DE ISRAEL;COQUIMBO;COQ;131000000133;13558_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Autre;LAICO;592;0;444;Non;Oui;41005;1;Fonctionne;Avec matrícula;120;46;46;0;0;230;1.9167;-29,970631;-71,325447;-29.97063;-71.32545;school_capacity_with_region_and_province;exact_rbd_program_code;-29.97063;-71.32545;Región de Coquimbo;Elqui;120.0;51.0;0.0;51.0;0
13361;KID´S WORLD SCHOOL;COQUIMBO;COQ;131000000133;13361_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$25.001 A $50.000;Autre;LAICO;997;294;0;Oui;Non;;0;Fonctionne;Avec matrícula;76;2;2;0;0;109;1.4342;-29,964211;-71,342949;-29.96421;-71.34295;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96421;-71.34295;Región de Coquimbo;Elqui;78.0;1.0;0.0;1.0;0
13561;LIC.DE CIENC.Y HUM.SAN JOSEMARIA ESCRIVA;COQUIMBO;COQ;131000000133;13561_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;519;380;0;Oui;Non;;0;Fonctionne;Avec matrícula;80;15;15;0;0;192;2.4000;-29,990379;-71,331596;-29.99037517;-71.33159953;school_capacity_with_region_and_province;exact_rbd_program_code;-29.99037517;-71.33159953;Región de Coquimbo;Elqui;80.0;17.0;0.0;17.0;0.001
11105;LICEO BICENTENARIO DE EXCELENCIA COLEGIO PARTICULAR MIGUEL DE CERVANTES;COQUIMBO;COQ;131000000133;11105_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Catholique;;1088;323;0;Oui;Non;;0;Fonctionne;Avec matrícula;85;19;19;0;0;112;1.3176;-29,96208;-71,24765;-29.96208;-71.24765;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96208;-71.24765;Región de Coquimbo;Elqui;84.0;4.0;0.0;4.0;0
609;LICEO BICENTENARIO DE EXCELENCIA INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO;COQUIMBO;COQ;131000000133;609_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;838;0;838;Non;Oui;41002|41005|58034;3;Fonctionne;Avec matrícula;218;214;181;33;0;214;0.9817;-29,96055;-71,340134;-29.96055;-71.34013;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96055;-71.34013;Región de Coquimbo;Elqui;218.0;218.0;33.0;185.0;0
13461;LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ;COQUIMBO;COQ;131000000133;13461_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;353;235;92;Oui;Oui;61003|81003;2;Fonctionne;Avec matrícula;120;120;102;18;0;44;0.3667;-30,26264;-71,493401;-30.26264;-71.493048;school_capacity_with_region_and_province;exact_rbd_program_code;-30.26264;-71.493048;Región de Coquimbo;Elqui;120.0;120.0;18.0;102.0;0.034
611;LICEO DIEGO PORTALES;COQUIMBO;COQ;131000000133;611_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Autre;COLEGIO LAICO;474;387;48;Oui;Oui;58033;1;Fonctionne;Avec matrícula;222;216;182;34;0;38;0.1712;-29,95303;-71,337021;-29.95303287;-71.33675591;school_capacity_with_region_and_province;exact_rbd_program_code;-29.95303287;-71.33675591;Región de Coquimbo;Elqui;222.0;222.0;34.0;188.0;0.026
11139;LICEO FERNANDO BINVIGNAT MARIN;COQUIMBO;COQ;131000000133;11139_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;675;0;675;Non;Oui;41005|52009|53014|64001|72007;5;Fonctionne;Avec matrícula;185;176;148;28;0;161;0.8703;-29,963869;-71,254288;-29.96387;-71.25429;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96387;-71.25429;Región de Coquimbo;Elqui;185.0;185.0;28.0;157.0;0
610;LICEO INDUSTRIAL JOSE TOMAS DE URMENETA;COQUIMBO;COQ;131000000131;610_131000000131;1º medio — Général H-C — Mixte — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;583;0;583;Non;Oui;52010|52013|53014;3;Fonctionne;Avec matrícula;180;171;144;27;0;123;0.6833;-29,96525;-71,347221;-29.96525;-71.34722;school_capacity_with_region_and_province;exact_rbd_program_code;-29.96525;-71.34722;Región de Coquimbo;Elqui;180.0;180.0;27.0;153.0;0
11130;COLEGIO SAN IGNACIO DE LOYOLA;ILLAPEL;COQ;131000000133;11130_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;558;187;0;Oui;Non;;0;Fonctionne;Avec matrícula;38;0;0;0;0;39;1.0263;-31,64537;-71,187202;-31.64541;-71.18734;school_capacity_with_region_and_province;exact_rbd_program_code;-31.64541;-71.18734;Región de Coquimbo;Choapa;41.0;2.0;0.0;2.0;0.014
987;COLEGIO SANTA TERESA;ILLAPEL;COQ;131000000133;987_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Catholique;;1142;335;0;Oui;Non;;0;Fonctionne;Avec matrícula;84;1;1;0;0;28;0.3333;-31,634621;-71,168968;-31.63249;-71.16898;school_capacity_with_region_and_province;exact_rbd_program_code;-31.63249;-71.16898;Región de Coquimbo;Choapa;84.0;6.0;0.0;6.0;0.237
982;ESCUELA BASICA VILLA LOS NARANJOS;ILLAPEL;COQ;131000000133;982_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Municipal DAEM;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;382;54;0;Oui;Non;;0;Fonctionne;Avec matrícula;26;8;8;0;0;1;0.0385;-31,642031;-71,191742;-31.64176;-71.19196;school_capacity_with_region_and_province;exact_rbd_program_code;-31.64176;-71.19196;Región de Coquimbo;Choapa;26.0;16.0;0.0;16.0;0.037
967;LICEO BICENTENARIO DE EXCELENCIA LICEO DOMINGO ORTIZ DE ROZAS;ILLAPEL;COQ;131000000133;967_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Municipal DAEM;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;645;576;0;Oui;Non;;0;Fonctionne;Avec matrícula;160;119;119;0;0;102;0.6375;-31,63438;-71,168388;-31.63439;-71.16839;school_capacity_with_region_and_province;exact_rbd_program_code;-31.63439;-71.16839;Región de Coquimbo;Choapa;160.0;117.0;0.0;117.0;0.001
988;LICEO PARTICULAR LUIS ALBERTO VERA;ILLAPEL;COQ;131000000133;988_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;370;206;164;Oui;Oui;41002|41005|64001;3;Fonctionne;Avec matrícula;99;96;81;15;0;109;1.1010;-31,62764;-71,158768;-31.62764;-71.15877;school_capacity_with_region_and_province;exact_rbd_program_code;-31.62764;-71.15877;Región de Coquimbo;Choapa;120.0;117.0;18.0;99.0;0
968;LICEO POLITECNICO PABLO RODRIGUEZ CAVIEDES;ILLAPEL;COQ;131000000133;968_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Municipal DAEM;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;543;0;543;Non;Oui;52009|52013|53014|54018|54019;5;Fonctionne;Avec matrícula;140;116;95;21;0;106;0.7571;-31,641211;-71,178261;-31.64121;-71.17826;school_capacity_with_region_and_province;exact_rbd_program_code;-31.64121;-71.17826;Región de Coquimbo;Choapa;175.0;137.0;27.0;110.0;0
597;COLEGIO PEDRO PABLO MUÑOZ;LA HIGUERA;COQ;131000000133;597_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Catholique;;375;126;0;Oui;Non;;0;Fonctionne;Avec matrícula;32;6;6;0;0;18;0.5625;-29,511;-71,20237;-29.511934;-71.20117883;school_capacity_with_region_and_province;exact_rbd_program_code;-29.511934;-71.20117883;Región de Coquimbo;Elqui;42.0;6.0;0.0;6.0;0.155
599;ESCUELA JOSE SANTOS OSSA;LA HIGUERA;COQ;131000000133;599_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Rural;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;125;0;0;Non;Non;;0;Fonctionne;Avec matrícula;25;9;9;0;0;25;1.0000;-29,3731;-71,116203;-29.3731;-71.116203;programmes_chili_criteres_recommandation_lat_lycee;program_csv_coordinate_fallback;;;;;;;;;
565;COLEGIO ADVENTISTA LA SERENA;LA SERENA;COQ;131000000133;565_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;$25.001 A $50.000;Autre;ADVENTISTA;915;331;0;Oui;Non;;0;Fonctionne;Avec matrícula;84;10;10;0;0;109;1.2976;-29,935129;-71,275391;-29.93513;-71.27539;school_capacity_with_region_and_province;exact_rbd_program_code;-29.93513;-71.27539;Región de Coquimbo;Elqui;84.0;2.0;0.0;2.0;0
13356;COLEGIO ALBERT EINSTEIN;LA SERENA;COQ;131000000133;13356_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Laïque;;970;289;0;Oui;Non;;0;Fonctionne;Avec matrícula;72;5;5;0;0;143;1.9861;-29,92857;-71,256752;-29.92857;-71.25675;school_capacity_with_region_and_province;exact_rbd_program_code;-29.92857;-71.25675;Región de Coquimbo;Elqui;72.0;4.0;0.0;4.0;0
12779;COLEGIO ALTOS DEL CERRO GRANDE;LA SERENA;COQ;131000000133;12779_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Sans information;Sans information;Sans information;;418;121;0;Oui;Non;;0;Fonctionne;Avec matrícula;30;1;1;0;0;96;3.2000;-29,94993;-71,232826;-29.94993;-71.23283;school_capacity_with_region_and_province;exact_rbd_program_code;-29.94993;-71.23283;Región de Coquimbo;Elqui;30.0;8.0;0.0;8.0;0
13344;COLEGIO AMERICANO;LA SERENA;COQ;131000000133;13344_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;925;287;0;Oui;Non;;0;Fonctionne;Avec matrícula;74;14;14;0;0;62;0.8378;-29,87195;-71,244476;-29.87195;-71.24448;school_capacity_with_region_and_province;exact_rbd_program_code;-29.87195;-71.24448;Región de Coquimbo;Elqui;74.0;17.0;0.0;17.0;0
40298;COLEGIO BERNARDO O´HIGGINS;LA SERENA;COQ;131000000133;40298_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;1382;506;0;Oui;Non;;0;Fonctionne;Avec matrícula;135;16;16;0;0;93;0.6889;-29,9272;-71,258331;-29.9272;-71.25833;school_capacity_with_region_and_province;exact_rbd_program_code;-29.9272;-71.25833;Región de Coquimbo;Elqui;135.0;17.0;0.0;17.0;0
13535;COLEGIO CERRO GRANDE;LA SERENA;COQ;131000000133;13535_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$25.001 A $50.000;Laïque;;774;235;0;Oui;Non;;0;Fonctionne;Avec matrícula;60;4;4;0;0;114;1.9000;-29,925329;-71,210037;-29.92533;-71.21004;school_capacity_with_region_and_province;exact_rbd_program_code;-29.92533;-71.21004;Región de Coquimbo;Elqui;60.0;2.0;0.0;2.0;0
40231;COLEGIO CORDILLERA;LA SERENA;COQ;131000000133;40231_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;MAS DE $100.000;Laïque;;491;153;0;Oui;Non;;0;Fonctionne;Avec matrícula;38;8;6;2;0;92;2.4211;-29,93931;-71,23967;-29.93931;-71.23967;school_capacity_with_region_and_province;exact_rbd_program_code;-29.93931;-71.23967;Región de Coquimbo;Elqui;38.0;4.0;3.0;1.0;0
536;COLEGIO DEPORTIVO OLIMPICO;LA SERENA;COQ;131000000133;536_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Service local d'éducation;Service local d'éducation;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;268;29;0;Oui;Non;;0;Fonctionne;Avec matrícula;38;5;5;0;0;38;1.0000;-29,91077;-71,22921;-29.91077;-71.22921;programmes_chili_criteres_recommandation_lat_lycee;program_csv_coordinate_fallback;;;;;;;;;
40194;COLEGIO DOMINGO SANTA MARIA;LA SERENA;COQ;131000000133;40194_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;Gratuit;Laïque;;1232;331;0;Oui;Non;;0;Fonctionne;Avec matrícula;90;13;13;0;0;110;1.2222;-29,90295;-71,242706;-29.90295;-71.24271;school_capacity_with_region_and_province;exact_rbd_program_code;-29.90295;-71.24271;Región de Coquimbo;Elqui;90.0;15.0;0.0;15.0;0
570;COLEGIO ELENA BETTINI;LA SERENA;COQ;131000000133;570_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$25.001 A $50.000;Catholique;;618;179;0;Oui;Non;;0;Fonctionne;Avec matrícula;45;3;3;0;0;159;3.5333;-29,90818;-71,253418;-29.90818;-71.25342;school_capacity_with_region_and_province;exact_rbd_program_code;-29.90818;-71.25342;Región de Coquimbo;Elqui;45.0;1.0;0.0;1.0;0
13417;COLEGIO ELQUI;LA SERENA;COQ;131000000133;13417_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$10.001 A $25.000;Laïque;;377;122;0;Oui;Non;;0;Fonctionne;Avec matrícula;30;4;4;0;0;75;2.5000;-29,886511;-71,235947;-29.88651;-71.23595;school_capacity_with_region_and_province;exact_rbd_program_code;-29.88651;-71.23595;Región de Coquimbo;Elqui;33.0;1.0;0.0;1.0;0
